,Green,NUMBER_OFFERS_SME,SOCIAL_CLAUSE,ENVIRONMENTAL_CLAUSE,ENVIRONMENTAL_CRITERION,ENVIRONMENTAL_WEIGHT,P_CRITERION_WEIGHT,AWARD_PRICE,CAE_LEGAL_STATUS,CAE_REGION,PROCEDURE_TYPE,CPV,FRAMEWORK_AGREEMENT,ADVERTISING,ID_BOAMP_AWARD,ALLOTMENT,MONTH,Division_type,Division,Offers_other,CAE_SIREN,presence,Quarter,Statut
917869,1,4.0,1,1,1,15.0,41.17647058823529,12.001834996044602,722,Pays de la Loire,open,'45442100,0,30.0,23-3770,1,2023_January,T,45,0.0,228500013,1,2023Q1,Département
917871,1,4.0,1,1,1,15.0,35.294117647058826,13.367973189704406,722,Pays de la Loire,open,'45311200,0,30.0,23-3770,1,2023_January,T,45,0.0,228500013,1,2023Q1,Département
917872,1,0.0,1,1,1,15.0,35.294117647058826,10.760028280004509,722,Pays de la Loire,open,'45313100,0,30.0,23-3770,1,2023_January,T,45,2.0,228500013,0,2023Q1,Département
917873,1,2.0,1,1,1,15.0,35.294117647058826,13.319573546692034,722,Pays de la Loire,open,'45421151,0,30.0,23-3770,1,2023_January,T,45,0.0,228500013,1,2023Q1,Département
917874,1,1.0,1,1,1,15.0,35.294117647058826,12.815602972091813,722,Pays de la Loire,open,'45112710,0,30.0,23-3770,1,2023_January,T,45,1.0,228500013,1,2023Q1,Département
917877,0,4.0,0,0,0,0.0,60.0,12.484461671070362,722,Pays de la Loire,open,'42410000,0,29.0,23-5711,1,2023_January,F,42,0.0,228500013,1,2023Q1,Département
917933,0,1.0,0,0,0,0.0,60.0,14.508657738524219,722,Pays de la Loire,open,'34100000,1,43.0,23-164019,0,2023_November,F,34,1.0,228500013,1,2023Q4,Département
917944,0,1.0,0,0,0,0.0,100.0,13.235468823509601,734,Pays de la Loire,open,'71241000,0,34.0,23-75227,0,2023_June,S,71,0.0,248500662,1,2023Q2,Interco
917945,0,2.0,0,0,0,0.0,30.0,11.060250817846267,722,Pays de la Loire,open,'85312400,1,27.0,23-78482,1,2023_June,S,85,1.0,228500013,1,2023Q2,Département
917946,0,2.0,0,0,0,0.0,30.0,11.497679838754662,722,Pays de la Loire,open,'85312400,1,27.0,23-78482,1,2023_June,S,85,1.0,228500013,1,2023Q2,Département
917947,0,2.0,0,0,0,0.0,30.0,12.736847944603785,722,Pays de la Loire,open,'85312400,1,27.0,23-78482,1,2023_June,S,85,1.0,228500013,1,2023Q2,Département
917948,0,3.0,0,0,0,0.0,30.0,11.484518274369378,722,Pays de la Loire,open,'85312400,1,27.0,23-78482,1,2023_June,S,85,1.0,228500013,1,2023Q2,Département
