,Green,NUMBER_OFFERS_SME,SOCIAL_CLAUSE,ENVIRONMENTAL_CLAUSE,ENVIRONMENTAL_CRITERION,ENVIRONMENTAL_WEIGHT,P_CRITERION_WEIGHT,AWARD_PRICE,CAE_LEGAL_STATUS,CAE_REGION,PROCEDURE_TYPE,CPV,FRAMEWORK_AGREEMENT,ADVERTISING,ID_BOAMP_AWARD,ALLOTMENT,MONTH,Division_type,Division,Offers_other,CAE_SIREN,presence,Quarter,Statut
15849,1,2.0,1,1,0,0.0,40.0,15.89495209964411,721,Ile-de-France,open,'50232100,0,34.0,22-12103,1,2022_January,S,50,0.0,219300787,1,2022Q1,Commune
15850,1,2.0,1,1,0,0.0,40.0,13.997832114758229,721,Ile-de-France,open,'50232200,0,34.0,22-12103,1,2022_January,S,50,0.0,219300787,1,2022Q1,Commune
16269,0,4.0,0,0,0,0.0,40.0,11.813030057420567,738,Ile-de-France,open,'79600000,1,40.0,22-13895,1,2022_February,S,79,2.0,180036048,1,2022Q1,Etat
16270,0,1.0,0,0,0,0.0,40.0,10.00784756786037,738,Ile-de-France,open,'79600000,1,40.0,22-13895,1,2022_February,S,79,0.0,180036048,1,2022Q1,Etat
16275,1,2.0,1,1,0,0.0,40.0,13.646819679939954,712,Ile-de-France,open,'79311200,1,32.0,22-21352,0,2022_February,S,79,0.0,120064019,1,2022Q1,Etat
16509,0,1.0,0,0,0,0.0,40.0,11.918390573078392,738,Ile-de-France,open,'66510000,1,34.0,22-32519,1,2022_March,S,66,2.0,180036048,1,2022Q1,Etat
16511,0,1.0,0,0,0,0.0,40.0,11.918390573078392,738,Ile-de-France,open,'66510000,1,34.0,22-32519,1,2022_March,S,66,1.0,180036048,1,2022Q1,Etat
16513,0,1.0,0,0,0,0.0,30.0,12.611537753638338,738,Ile-de-France,open,'66510000,1,34.0,22-32519,1,2022_March,S,66,1.0,180036048,1,2022Q1,Etat
21775,1,6.0,0,0,1,15.0,35.294117647058826,14.28551418721001,736,Ile-de-France,open,'15811100,1,31.0,22-101776,0,2022_July,F,15,0.0,267500403,1,2022Q3,EPL
22022,0,1.0,0,0,0,0.0,40.0,11.982929094215963,736,Ile-de-France,open,'79800000,0,32.0,22-109628,1,2022_August,S,79,1.0,267500007,1,2022Q3,EPL
22023,0,0.0,0,0,0,0.0,35.0,12.676076274775909,736,Ile-de-France,open,'79800000,0,32.0,22-109628,1,2022_August,S,79,2.0,267500007,0,2022Q3,EPL
22024,0,2.0,0,0,0,0.0,40.0,10.778956289890028,736,Ile-de-France,open,'79800000,0,32.0,22-109628,1,2022_August,S,79,1.0,267500007,1,2022Q3,EPL
22139,0,3.0,0,0,0,0.0,55.00000000000001,15.424948470398375,736,Ile-de-France,open,'45262700,0,29.0,22-118839,0,2022_September,T,45,1.0,267500007,1,2022Q3,EPL
22179,1,3.0,0,1,0,0.0,40.0,11.855628251342077,738,Grand Est,open,'38636100,0,38.0,22-122717,0,2022_September,F,38,0.0,180070039,1,2022Q3,Etat
22208,0,4.0,1,0,0,0.0,40.0,12.181651870988492,711,Ile-de-France,open,'48000000,1,29.0,22-130483,0,2022_October,S,48,0.0,110043015,1,2022Q4,Etat
22274,0,1.0,1,0,0,0.0,30.0,12.966878474563934,711,Ile-de-France,open,'70310000,1,30.0,22-133735,1,2022_October,S,70,0.0,110043015,1,2022Q4,Etat
22275,0,1.0,1,0,0,0.0,30.0,13.833994669341427,711,Ile-de-France,open,'70310000,1,30.0,22-133735,1,2022_October,S,70,0.0,110043015,1,2022Q4,Etat
22296,0,1.0,1,0,0,0.0,40.0,13.997832114758229,711,Ile-de-France,open,'72416000,1,34.0,22-72920,0,2022_May,S,72,2.0,110043015,1,2022Q2,Etat
22305,1,3.0,0,1,1,5.0,52.63157894736842,15.319587954740548,735,Ile-de-France,open,'34928480,0,30.0,22-75410,0,2022_May,F,34,0.0,259500023,1,2022Q2,EPL
22345,1,4.0,0,1,0,0.0,45.0,12.89921982609012,721,Ile-de-France,open,'18100000,0,35.0,22-76412,1,2022_June,F,18,1.0,219300787,1,2022Q2,Commune
22348,1,6.0,0,1,0,0.0,45.0,11.982929094215963,721,Ile-de-France,open,'18100000,0,35.0,22-76412,1,2022_June,F,18,2.0,219300787,1,2022Q2,Commune
22358,1,2.0,0,1,0,0.0,45.0,11.512925464970229,721,Ile-de-France,open,'18100000,0,35.0,22-76412,1,2022_June,F,18,1.0,219300787,1,2022Q2,Commune
22390,0,2.0,0,0,0,0.0,40.0,15.424748450395708,738,Ile-de-France,open,'72600000,1,32.0,22-82147,0,2022_June,S,72,0.0,180070039,1,2022Q2,Etat
32206,1,0.0,1,1,0,0.0,50.0,17.72753356339242,712,Ile-de-France,open,'64212000,1,36.0,22-162340,0,2022_December,S,64,2.0,130022205,0,2022Q4,Etat
33885,0,1.0,0,0,0,0.0,30.0,11.68140161494213,711,Ile-de-France,open,'79952000,1,20.0,22-136008,0,2022_October,S,79,0.0,110043015,1,2022Q4,Etat
36282,0,1.0,0,0,0,0.0,40.0,13.607674250717212,721,Ile-de-France,open,'71310000,0,48.0,23-11648,0,2023_January,S,71,0.0,219300019,1,2023Q1,Commune
37292,1,1.0,0,0,1,3.0,30.927835051546392,13.669328047786193,711,Ile-de-France,open,'66133000,1,31.0,23-30725,0,2023_March,S,66,2.0,110070018,1,2023Q1,Etat
37685,0,1.0,0,0,0,0.0,30.0,12.065401539991406,738,Ile-de-France,open,'72268000,1,28.0,21-64832,0,2023_March,S,72,1.0,130002504,1,2023Q1,Etat
37968,1,1.0,1,1,0,0.0,40.0,8.446556111816797,738,Ile-de-France,open,'90910000,1,50.0,23-47700,1,2023_April,S,90,0.0,180044174,1,2023Q2,Etat
37969,1,1.0,1,1,0,0.0,40.0,9.064157861798101,738,Ile-de-France,open,'90910000,1,50.0,23-47700,1,2023_April,S,90,0.0,180044174,1,2023Q2,Etat
38605,1,0.0,1,1,1,10.0,50.0,13.304684934198283,738,Ile-de-France,open,'98130000,0,36.0,23-58075,1,2023_April,S,98,1.0,180089013,0,2023Q2,Etat
38606,1,0.0,1,1,1,10.0,50.0,12.89921982609012,738,Ile-de-France,open,'98310000,0,36.0,23-58075,1,2023_April,S,98,1.0,180089013,0,2023Q2,Etat
38609,0,1.0,0,0,0,0.0,50.0,12.206072645530174,721,Ile-de-France,open,'50100000,1,30.0,23-58127,1,2023_April,S,50,0.0,219200516,1,2023Q2,Commune
38826,0,3.0,0,0,0,0.0,40.0,11.141861783579396,738,Ile-de-France,open,'80511000,1,35.0,23-61097,1,2023_May,S,80,3.0,180035065,1,2023Q2,Etat
40357,1,2.0,0,1,1,5.0,57.89473684210527,11.432425027554416,721,Ile-de-France,open,'30197643,1,30.0,23-99133,0,2023_July,F,30,1.0,217805514,1,2023Q3,Commune
40414,1,2.0,0,1,1,15.0,58.82352941176471,13.592367006650065,721,Ile-de-France,open,'50721000,0,33.0,23-101193,1,2023_July,S,50,1.0,219200359,1,2023Q3,Commune
40415,1,1.0,0,1,1,15.0,58.82352941176471,13.122363377404328,721,Ile-de-France,open,'50721000,0,33.0,23-101193,1,2023_July,S,50,1.0,219200359,1,2023Q3,Commune
40779,0,3.0,0,0,0,0.0,40.0,13.304684934198283,734,Ile-de-France,open,'79810000,1,33.0,23-110001,0,2023_August,S,79,1.0,200057974,1,2023Q3,Interco
40819,1,1.0,1,1,0,0.0,40.0,13.815510557964274,738,Hauts-de-France,open,'72260000,1,34.0,23-110379,0,2023_August,S,72,0.0,130017791,1,2023Q3,Etat
40925,0,1.0,0,0,0,0.0,50.0,11.69086242344636,711,Ile-de-France,open,'18512200,1,39.0,23-112681,1,2023_August,F,18,1.0,110000023,1,2023Q3,Etat
40926,0,1.0,0,0,0,0.0,40.0,11.59470819638557,711,Ile-de-France,open,'18512200,1,39.0,23-112681,1,2023_August,F,18,1.0,110000023,1,2023Q3,Etat
40984,0,2.0,0,0,0,0.0,30.0,17.038378404102012,722,Ile-de-France,open,'72600000,1,31.0,23-113308,0,2023_August,S,72,3.0,217500016,1,2023Q3,Département
40985,0,2.0,0,0,0,0.0,30.0,17.038378404102012,722,Ile-de-France,open,'72600000,1,31.0,23-113308,0,2023_August,S,72,3.0,217500016,1,2023Q3,Département
40986,0,2.0,0,0,0,0.0,30.0,17.038378404102012,722,Ile-de-France,open,'72600000,1,31.0,23-113308,0,2023_August,S,72,3.0,217500016,1,2023Q3,Département
41151,0,2.0,0,0,0,0.0,40.0,12.647548191161372,711,Ile-de-France,open,'71300000,0,28.0,23-114173,0,2023_August,S,71,0.0,110000023,1,2023Q3,Etat
41219,1,4.0,0,0,1,5.0,42.10526315789473,10.482989997850549,721,Ile-de-France,open,'50700000,1,32.0,23-114856,0,2023_August,S,50,2.0,217805514,1,2023Q3,Commune
41572,1,10.0,0,1,0,0.0,60.0,13.592367006650065,738,Ile-de-France,open,'79713000,0,33.0,23-125390,1,2023_September,S,79,0.0,130008014,1,2023Q3,Etat
42508,1,1.0,1,1,0,0.0,40.0,14.403297222866392,738,Hauts-de-France,open,'79311000,1,41.0,23-147954,0,2023_October,S,79,2.0,130017791,1,2023Q4,Etat
42643,1,3.0,0,1,0,0.0,50.0,14.077874822431765,738,Ile-de-France,open,'30200000,1,33.0,23-151922,0,2023_October,F,30,1.0,130002504,1,2023Q4,Etat
45510,0,2.0,0,0,0,0.0,40.0,11.695247021764184,721,Ile-de-France,open,'18000000,1,33.0,23-173699,1,2023_December,F,18,0.0,217804186,1,2023Q4,Commune
45949,1,1.0,0,1,1,10.0,55.55555555555556,16.759949537130716,738,Ile-de-France,open,'34110000,0,71.0,23-177079,1,2023_December,F,34,2.0,180070047,1,2023Q4,Etat
58577,1,1.0,0,1,0,0.0,20.0,13.191144759862386,738,Ile-de-France,open,'22200000,0,30.0,22-32016,0,2022_March,F,22,0.0,197534712,1,2022Q1,Etat
62559,0,6.0,0,0,0,0.0,60.0,11.695247021764184,721,Ile-de-France,open,'18143000,1,32.0,22-90089,0,2022_June,F,18,0.0,219200359,1,2022Q2,Commune
63555,1,3.0,0,1,0,0.0,65.0,14.141680392333885,738,Ile-de-France,open,'45331000,1,38.0,22-62210,0,2022_May,T,45,4.0,180035024,1,2022Q2,Etat
63579,1,1.0,0,0,1,30.0,100.0,11.695247021764184,722,Ile-de-France,open,'03451100,1,33.0,22-64765,1,2022_May,F,03,0.0,217500016,1,2022Q2,Département
63669,0,1.0,0,0,0,0.0,30.0,12.206072645530174,734,Ile-de-France,open,'79340000,1,57.0,22-147413,0,2022_November,S,79,0.0,200073344,1,2022Q4,Interco
63701,0,6.0,0,0,0,0.0,40.0,15.241025632237447,738,Nouvelle-Aquitaine,open,'63516000,1,61.0,22-151471,0,2022_November,S,63,0.0,180043010,1,2022Q4,Etat
63785,0,3.0,0,0,0,0.0,60.0,13.017002861746503,738,Ile-de-France,open,'50324100,1,50.0,22-154974,0,2022_November,S,50,0.0,180092264,1,2022Q4,Etat
63838,1,2.0,0,1,0,0.0,60.0,13.304684934198283,721,Ile-de-France,open,'30192000,0,32.0,22-73953,1,2022_June,F,30,1.0,219300787,1,2022Q2,Commune
63841,1,2.0,0,1,0,0.0,60.0,13.815510557964274,721,Ile-de-France,open,'39162110,0,32.0,22-73953,1,2022_June,F,39,1.0,219300787,1,2022Q2,Commune
64059,1,0.0,0,1,0,0.0,40.0,13.946538820370678,738,Ile-de-France,open,'85300000,0,44.0,22-81633,1,2022_June,S,85,2.0,180070039,0,2022Q2,Etat
64060,1,0.0,0,1,0,0.0,40.0,11.982929094215963,738,Ile-de-France,open,'85300000,0,44.0,22-81633,1,2022_June,S,85,2.0,180070039,0,2022Q2,Etat
64061,1,0.0,0,1,0,0.0,40.0,11.512925464970229,738,Ile-de-France,open,'85300000,0,44.0,22-81633,1,2022_June,S,85,2.0,180070039,0,2022Q2,Etat
64080,1,1.0,0,1,0,0.0,40.0,12.205672565508834,738,Ile-de-France,open,'92400000,1,29.0,22-126276,0,2022_September,S,92,2.0,187500020,1,2022Q3,Etat
64255,0,1.0,0,0,0,0.0,40.0,15.212167788593934,738,Ile-de-France,open,'72500000,1,33.0,19-18180,1,2022_September,S,72,3.0,130002504,1,2022Q3,Etat
64256,0,1.0,0,0,0,0.0,40.0,13.612986702015982,738,Ile-de-France,open,'72600000,1,33.0,19-18180,1,2022_September,S,72,3.0,130002504,1,2022Q3,Etat
64333,0,3.0,0,0,0,0.0,40.0,11.289781913656018,738,Ile-de-France,open,'80500000,1,39.0,22-54511,1,2022_April,S,80,0.0,180092355,1,2022Q2,Etat
64334,0,3.0,0,0,0,0.0,40.0,11.002099841204238,738,Ile-de-France,open,'80500000,1,39.0,22-54511,1,2022_April,S,80,0.0,180092355,1,2022Q2,Etat
64339,0,4.0,0,0,0,0.0,40.0,11.695247021764184,738,Ile-de-France,open,'80500000,1,39.0,22-54511,1,2022_April,S,80,0.0,180092355,1,2022Q2,Etat
64342,0,9.0,0,0,0,0.0,40.0,11.512925464970229,738,Ile-de-France,open,'80500000,1,39.0,22-54511,1,2022_April,S,80,0.0,180092355,1,2022Q2,Etat
64965,0,2.0,1,0,0,0.0,40.0,12.611537753638338,712,Ile-de-France,open,'98310000,1,30.0,22-141620,1,2022_October,S,98,0.0,110002011,1,2022Q4,Etat
64966,0,3.0,1,0,0,0.0,40.0,13.304684934198283,712,Ile-de-France,open,'98310000,1,30.0,22-141620,1,2022_October,S,98,0.0,110002011,1,2022Q4,Etat
65205,0,1.0,0,0,0,0.0,55.00000000000001,12.947390750951412,711,Ile-de-France,open,'30197643,1,85.0,22-159322,1,2022_December,F,30,2.0,110000023,1,2022Q4,Etat
65207,0,1.0,0,0,0,0.0,55.00000000000001,12.101955800637604,711,Ile-de-France,open,'30197643,1,85.0,22-159322,1,2022_December,F,30,1.0,110000023,1,2022Q4,Etat
65605,0,3.0,0,0,0,0.0,60.0,13.506264307596652,711,Ile-de-France,open,'45111220,1,37.0,22-112937,1,2022_August,T,45,0.0,110070018,1,2022Q3,Etat
65606,0,4.0,0,0,0,0.0,60.0,13.304684934198283,711,Ile-de-France,open,'45111220,1,37.0,22-112937,1,2022_August,T,45,0.0,110070018,1,2022Q3,Etat
65607,0,4.0,0,0,0,0.0,60.0,12.491251587763836,711,Ile-de-France,open,'45111220,1,37.0,22-112937,1,2022_August,T,45,0.0,110070018,1,2022Q3,Etat
65887,0,4.0,0,0,0,0.0,55.00000000000001,14.914122846632385,736,Ile-de-France,open,'45331200,0,29.0,22-118825,0,2022_September,T,45,1.0,267500007,1,2022Q3,EPL
65941,1,1.0,0,1,1,10.0,50.0,15.052863543075706,738,Ile-de-France,open,'09123000,1,32.0,22-121912,0,2022_September,F,09,2.0,197546922,1,2022Q3,Etat
66148,1,2.0,0,1,0,0.0,40.0,11.512925464970229,738,Ile-de-France,open,'79823000,1,32.0,22-58255,0,2022_April,S,79,1.0,180043093,1,2022Q2,Etat
66178,0,3.0,0,0,0,0.0,40.0,12.611537753638338,738,Hauts-de-France,open,'71241000,1,36.0,22-60892,0,2022_April,S,71,1.0,130017791,1,2022Q2,Etat
66612,1,2.0,0,1,0,0.0,30.0,11.857755534541038,738,Ile-de-France,open,'79419000,0,32.0,22-42648,0,2022_March,S,79,1.0,130008014,1,2022Q1,Etat
66699,1,1.0,1,1,0,0.0,60.0,12.8790171187726,711,Ile-de-France,open,'55900000,1,30.0,22-49963,1,2022_April,S,55,0.0,110070018,1,2022Q2,Etat
66700,1,1.0,1,1,0,0.0,60.0,12.449018824140563,711,Ile-de-France,open,'55900000,1,30.0,22-49963,1,2022_April,S,55,0.0,110070018,1,2022Q2,Etat
67605,1,1.0,0,1,1,10.0,44.44444444444444,13.944431338031114,717,Ile-de-France,open,'60130000,0,34.0,21-156725,0,2022_January,S,60,0.0,177501517,1,2022Q1,Etat
68266,0,2.0,0,0,0,0.0,40.0,12.429216196844383,711,Ile-de-France,open,'39314000,1,68.0,22-8591,0,2022_January,F,39,0.0,110000023,1,2022Q1,Etat
68267,0,2.0,0,0,0,0.0,40.0,12.429216196844383,711,Ile-de-France,open,'39314000,1,68.0,22-8591,0,2022_January,F,39,0.0,110000023,1,2022Q1,Etat
68301,1,3.0,0,1,0,0.0,40.0,12.9384405392434,721,Ile-de-France,open,'45111100,0,40.0,22-11972,1,2022_January,T,45,5.0,219300787,1,2022Q1,Commune
68304,1,7.0,0,1,0,0.0,40.0,12.08277442918568,721,Ile-de-France,open,'45262660,0,40.0,22-11972,1,2022_January,T,45,2.0,219300787,1,2022Q1,Commune
68331,0,3.0,1,0,0,0.0,30.0,16.003352365576255,738,Ile-de-France,open,'33124100,1,38.0,22-12170,0,2022_January,F,33,0.0,180035024,1,2022Q1,Etat
68338,0,4.0,0,0,0,0.0,40.0,15.661652851812523,738,Ile-de-France,open,'66514110,1,44.0,22-12286,1,2022_January,S,66,0.0,180035024,1,2022Q1,Etat
68340,0,4.0,0,0,0,0.0,40.0,14.537358128746247,738,Ile-de-France,open,'66516000,1,44.0,22-12286,1,2022_January,S,66,0.0,180035024,1,2022Q1,Etat
68343,0,1.0,0,0,0,0.0,40.0,11.247222342715483,738,Ile-de-France,open,'66500000,1,44.0,22-12286,1,2022_January,S,66,0.0,180035024,1,2022Q1,Etat
68778,1,3.0,1,1,0,0.0,60.0,11.627426944428096,738,Ile-de-France,open,'90919200,0,33.0,22-16764,1,2022_February,S,90,0.0,180092264,1,2022Q1,Etat
68779,1,1.0,1,1,0,0.0,60.0,10.958919164400902,738,Ile-de-France,open,'90919200,0,33.0,22-16764,1,2022_February,S,90,0.0,180092264,1,2022Q1,Etat
68781,1,2.0,1,1,0,0.0,60.0,11.451171862344726,738,Ile-de-France,open,'90919200,0,33.0,22-16764,1,2022_February,S,90,0.0,180092264,1,2022Q1,Etat
68782,1,8.0,1,1,0,0.0,60.0,11.096863204865196,738,Ile-de-France,open,'90919200,0,33.0,22-16764,1,2022_February,S,90,1.0,180092264,1,2022Q1,Etat
68783,1,4.0,1,1,0,0.0,60.0,10.173169592041885,738,Ile-de-France,open,'90919200,0,33.0,22-16764,1,2022_February,S,90,1.0,180092264,1,2022Q1,Etat
68785,1,4.0,1,1,0,0.0,60.0,11.300128205710163,738,Ile-de-France,open,'90919200,0,33.0,22-16764,1,2022_February,S,90,1.0,180092264,1,2022Q1,Etat
69260,1,1.0,0,1,1,5.0,52.63157894736842,13.217673557208654,738,Normandie,open,'30120000,1,31.0,22-22896,0,2022_February,F,30,3.0,130027998,1,2022Q1,Etat
70745,1,0.0,0,1,0,0.0,40.0,11.695247021764184,721,Ile-de-France,open,'55243000,0,34.0,22-11527,1,2022_January,S,55,3.0,219300787,0,2022Q1,Commune
70748,1,0.0,0,1,0,0.0,40.0,11.695247021764184,721,Ile-de-France,open,'55243000,0,34.0,22-11527,1,2022_January,S,55,3.0,219300787,0,2022Q1,Commune
70777,1,3.0,1,1,0,0.0,40.0,13.510950015498098,721,Ile-de-France,open,'77310000,0,32.0,22-11840,1,2022_January,S,77,3.0,219300787,1,2022Q1,Commune
70778,1,1.0,1,1,0,0.0,40.0,12.364067398859106,721,Ile-de-France,open,'77310000,0,32.0,22-11840,1,2022_January,S,77,0.0,219300787,1,2022Q1,Commune
70779,1,3.0,1,1,0,0.0,40.0,13.304684934198283,721,Ile-de-France,open,'77310000,0,32.0,22-11840,1,2022_January,S,77,2.0,219300787,1,2022Q1,Commune
71124,1,2.0,0,1,1,22.0,51.28205128205128,12.765688433465597,721,Ile-de-France,open,'79810000,1,29.0,21-171750,1,2022_January,S,79,2.0,219104775,1,2022Q1,Commune
71126,1,3.0,0,1,1,20.0,50.0,11.156250521031495,721,Ile-de-France,open,'32584000,1,29.0,21-171750,1,2022_January,F,32,0.0,219104775,1,2022Q1,Commune
71213,0,5.0,0,0,0,0.0,30.0,13.122363377404328,738,Ile-de-France,open,'72267100,1,32.0,22-2192,0,2022_January,S,72,0.0,187500020,1,2022Q1,Etat
71220,0,5.0,0,0,0,0.0,40.0,12.676076274775909,735,Ile-de-France,open,'18100000,0,32.0,22-75489,0,2022_May,F,18,0.0,259500023,1,2022Q2,EPL
71284,1,0.0,0,1,0,0.0,60.0,11.823039059086488,738,Ile-de-France,open,'79520000,0,32.0,22-775,0,2022_January,S,79,1.0,130008014,0,2022Q1,Etat
71693,0,4.0,0,0,0,0.0,40.0,13.304684934198283,738,Hauts-de-France,open,'71241000,1,34.0,22-27372,0,2022_February,S,71,0.0,130017791,1,2022Q1,Etat
71722,1,2.0,0,0,1,10.0,33.33333333333333,12.766039800300469,711,Ile-de-France,open,'98310000,1,33.0,22-29883,1,2022_March,S,98,0.0,110000023,1,2022Q1,Etat
71723,1,4.0,0,0,1,10.0,44.44444444444444,12.225306483645472,711,Ile-de-France,open,'98310000,1,33.0,22-29883,1,2022_March,S,98,0.0,110000023,1,2022Q1,Etat
71724,1,4.0,0,0,1,10.0,44.44444444444444,10.7937217420905,711,Ile-de-France,open,'98310000,1,33.0,22-29883,1,2022_March,S,98,0.0,110000023,1,2022Q1,Etat
71731,0,4.0,0,0,0,0.0,60.0,10.596634733096073,738,Ile-de-France,open,'79530000,1,31.0,22-30978,1,2022_March,S,79,0.0,180092140,1,2022Q1,Etat
71735,1,2.0,1,1,1,20.0,62.5,12.206072645530174,738,Ile-de-France,open,'51314000,1,31.0,22-32075,0,2022_March,S,51,1.0,180092140,1,2022Q1,Etat
71880,0,3.0,0,0,0,0.0,100.0,12.89921982609012,738,Ile-de-France,open,'79634000,0,27.0,22-33614,0,2022_March,S,79,1.0,180070039,1,2022Q1,Etat
71948,1,3.0,0,1,0,0.0,40.0,10.87804719253426,712,Ile-de-France,open,'98310000,1,38.0,22-20691,1,2022_February,S,98,0.0,110002011,1,2022Q1,Etat
71949,1,4.0,0,1,0,0.0,40.0,11.225243392518447,712,Ile-de-France,open,'98310000,1,38.0,22-20691,1,2022_February,S,98,0.0,110002011,1,2022Q1,Etat
71950,1,2.0,0,1,0,0.0,40.0,10.757902880692196,712,Ile-de-France,open,'98310000,1,38.0,22-20691,1,2022_February,S,98,0.0,110002011,1,2022Q1,Etat
72009,1,2.0,0,1,0,0.0,50.0,12.122691036591123,721,Ile-de-France,open,'55243000,0,38.0,22-12598,1,2022_February,S,55,5.0,219300787,1,2022Q1,Commune
72012,1,2.0,0,1,0,0.0,50.0,12.122691036591123,721,Ile-de-France,open,'55243000,0,38.0,22-12598,1,2022_February,S,55,4.0,219300787,1,2022Q1,Commune
72015,1,2.0,0,1,0,0.0,50.0,12.122691036591123,721,Ile-de-France,open,'55243000,0,38.0,22-12598,1,2022_February,S,55,2.0,219300787,1,2022Q1,Commune
72018,1,2.0,0,1,0,0.0,50.0,12.122691036591123,721,Ile-de-France,open,'55243000,0,38.0,22-12598,1,2022_February,S,55,2.0,219300787,1,2022Q1,Commune
72021,1,2.0,0,1,0,0.0,50.0,12.122691036591123,721,Ile-de-France,open,'55243000,0,38.0,22-12598,1,2022_February,S,55,4.0,219300787,1,2022Q1,Commune
72249,0,8.0,0,0,0,0.0,35.0,11.695247021764184,711,Ile-de-France,open,'79530000,1,43.0,22-32098,1,2022_March,S,79,0.0,110000270,1,2022Q1,Etat
72250,0,3.0,0,0,0,0.0,35.0,11.002099841204238,711,Ile-de-France,open,'79530000,1,43.0,22-32098,1,2022_March,S,79,0.0,110000270,1,2022Q1,Etat
72288,1,1.0,0,1,1,5.0,36.84210526315789,12.601487417784837,738,Ile-de-France,open,'38631000,1,45.0,22-93101,1,2022_July,F,38,0.0,130025919,1,2022Q3,Etat
72289,1,1.0,0,1,1,5.0,36.84210526315789,10.46310334047155,738,Ile-de-France,open,'38631000,1,45.0,22-93101,1,2022_July,F,38,0.0,130025919,1,2022Q3,Etat
72372,0,3.0,0,0,0,0.0,40.0,12.611537753638338,738,Ile-de-France,open,'79311000,0,37.0,22-33429,0,2022_March,S,79,0.0,180036048,1,2022Q1,Etat
72383,0,2.0,0,0,0,0.0,40.0,12.175613438045465,712,Ile-de-France,open,'85312320,0,39.0,22-33790,1,2022_March,S,85,0.0,130019474,1,2022Q1,Etat
72611,1,3.0,0,0,1,10.0,44.44444444444444,8.775240458738327,711,Ile-de-France,open,'39224000,1,38.0,22-53906,1,2022_April,F,39,0.0,110000023,1,2022Q2,Etat
73199,1,1.0,1,1,0,0.0,30.0,12.994530005894443,711,Ile-de-France,open,'77700000,1,30.0,22-41227,0,2022_March,S,77,0.0,110070018,1,2022Q1,Etat
73304,0,2.0,1,0,0,0.0,40.0,13.270783382522602,712,Ile-de-France,open,'79900000,1,39.0,22-46199,0,2022_April,S,79,7.0,120001037,1,2022Q2,Etat
73305,0,1.0,0,0,0,0.0,100.0,14.854650581431283,411,Ile-de-France,open,'44316500,0,34.0,22-65876,0,2022_May,F,44,0.0,692041585,1,2022Q2,Etat
73385,1,2.0,0,1,0,0.0,50.0,12.409013489526863,712,Ile-de-France,open,'42968000,1,35.0,22-50536,0,2022_April,F,42,1.0,120001037,1,2022Q2,Etat
73405,1,2.0,0,1,0,0.0,35.0,12.611537753638338,738,Ile-de-France,open,'72500000,1,30.0,22-70723,0,2022_May,S,72,0.0,130029952,1,2022Q2,Etat
75053,1,1.0,0,0,1,10.0,22.22222222222222,11.407564949312402,721,Ile-de-France,open,'33141820,1,31.0,22-100487,1,2022_July,F,33,0.0,219300480,1,2022Q3,Commune
75054,1,1.0,0,0,1,10.0,22.22222222222222,10.308952660644293,721,Ile-de-France,open,'33141820,1,31.0,22-100487,1,2022_July,F,33,0.0,219300480,1,2022Q3,Commune
75255,0,5.0,0,0,0,0.0,40.0,13.801208773253414,738,Ile-de-France,open,'71541000,0,40.0,23-13911,0,2023_February,S,71,0.0,130023385,1,2023Q1,Etat
75401,1,1.0,1,1,1,10.0,44.44444444444444,14.28551418721001,738,Hauts-de-France,open,'71300000,1,41.0,22-109581,1,2022_August,S,71,6.0,130017791,1,2022Q3,Etat
75405,1,1.0,1,1,1,10.0,44.44444444444444,13.997832114758229,738,Hauts-de-France,open,'71300000,1,41.0,22-109581,1,2022_August,S,71,5.0,130017791,1,2022Q3,Etat
75408,1,1.0,1,1,1,10.0,44.44444444444444,14.22097566607244,738,Hauts-de-France,open,'71300000,1,41.0,22-109581,1,2022_August,S,71,5.0,130017791,1,2022Q3,Etat
75412,1,1.0,1,1,1,10.0,44.44444444444444,13.710150042306449,738,Hauts-de-France,open,'71300000,1,41.0,22-109581,1,2022_August,S,71,4.0,130017791,1,2022Q3,Etat
75418,1,1.0,1,1,1,10.0,44.44444444444444,13.9108207377686,738,Hauts-de-France,open,'71300000,1,41.0,22-109581,1,2022_August,S,71,5.0,130017791,1,2022Q3,Etat
75423,0,3.0,0,0,0,0.0,30.0,10.689783487794095,738,Ile-de-France,open,'80530000,1,38.0,23-18728,1,2023_February,S,80,0.0,180014045,1,2023Q1,Etat
75424,0,2.0,0,0,0,0.0,30.0,10.731661569486969,738,Ile-de-France,open,'80530000,1,38.0,23-18728,1,2023_February,S,80,0.0,180014045,1,2023Q1,Etat
75425,0,3.0,0,0,0,0.0,30.0,11.702719036602884,738,Ile-de-France,open,'80530000,1,38.0,23-18728,1,2023_February,S,80,0.0,180014045,1,2023Q1,Etat
75426,0,3.0,0,0,0,0.0,30.0,10.991881141009905,738,Ile-de-France,open,'80530000,1,38.0,23-18728,1,2023_February,S,80,0.0,180014045,1,2023Q1,Etat
75427,0,3.0,0,0,0,0.0,30.0,10.919352089306376,738,Ile-de-France,open,'80530000,1,38.0,23-18728,1,2023_February,S,80,0.0,180014045,1,2023Q1,Etat
75428,0,3.0,0,0,0,0.0,30.0,11.190789964449069,738,Ile-de-France,open,'80530000,1,38.0,23-18728,1,2023_February,S,80,0.0,180014045,1,2023Q1,Etat
