,sme,social_clause,g_clause,g_criterion,g_weight,price_weight,award_price,legal_status,departement,procedure_type,CPV,framework,advertising,id_contract,allotment,month,contract_type,other_offers,siren,participation
2516,1,0,0,0,0.0,35.0,8.35054811400729,72,64,open,'34100000,0,50.0,22-164854,1,2023_March,Supplies,0.0,216403352,1
2517,1,0,0,0,0.0,70.0,13.122363377404328,72,44,open,'34928400,1,29.0,22-164895,0,2022_December,Supplies,0.0,224400028,1
2518,0,0,0,0,0.0,60.0,16.11809565095832,72,5,open,'45233220,1,29.0,22-164899,1,2022_December,Works,2.0,220500011,0
2519,0,0,0,0,0.0,60.0,15.89495209964411,72,5,open,'45233220,1,29.0,22-164899,1,2022_December,Works,2.0,220500011,0
2520,0,0,0,0,0.0,60.0,15.89495209964411,72,5,open,'45233220,1,29.0,22-164899,1,2022_December,Works,2.0,220500011,0
2521,0,0,0,0,0.0,45.0,11.895797255425649,72,14,open,'66515000,0,79.0,22-164934,1,2022_December,Services,1.0,200064996,0
2522,0,0,0,0,0.0,45.0,10.237814632810952,72,14,open,'66516000,0,79.0,22-164934,1,2022_December,Services,1.0,200064996,0
2523,0,0,0,0,0.0,45.0,11.129921212642122,72,14,open,'66514110,0,79.0,22-164934,1,2022_December,Services,2.0,200064996,0
2524,0,0,0,0,0.0,100.0,15.009433026436708,55,29,negotiated,'71000000,0,28.0,22-164985,1,2022_December,Services,1.0,635721400,0
2525,0,0,0,0,0.0,100.0,15.009433026436708,55,29,negotiated,'71000000,0,28.0,22-164985,1,2022_December,Services,1.0,635721400,0
2526,0,0,0,0,0.0,100.0,15.009433026436708,55,29,negotiated,'71000000,0,28.0,22-164985,1,2022_December,Services,1.0,635721400,0
2527,0,0,0,0,0.0,100.0,15.009433026436708,55,29,negotiated,'71000000,0,28.0,22-164985,1,2022_December,Services,1.0,635721400,0
2528,0,0,0,0,0.0,100.0,14.316285845876765,55,29,negotiated,'71000000,0,28.0,22-164985,1,2022_December,Services,1.0,635721400,0
2529,0,0,1,1,40.0,60.0,10.243643709468367,73,10,open,'34144900,0,31.0,22-164996,1,2022_December,Supplies,1.0,200069250,1
2530,0,0,1,1,40.0,60.0,9.364556478234514,73,10,open,'34100000,0,31.0,22-164996,1,2022_December,Supplies,1.0,200069250,1
2531,0,0,1,1,40.0,60.0,10.327873199668572,73,10,open,'34100000,0,31.0,22-164996,1,2022_December,Supplies,1.0,200069250,1
2532,0,0,1,1,40.0,60.0,9.806137092775458,73,10,open,'34100000,0,31.0,22-164996,1,2022_December,Supplies,1.0,200069250,0
2533,0,0,1,1,40.0,60.0,10.646549502754867,73,10,open,'34100000,0,31.0,22-164996,1,2022_December,Supplies,1.0,200069250,0
2534,0,0,1,1,40.0,60.0,10.66688954133913,73,10,open,'34100000,0,31.0,22-164996,1,2022_December,Supplies,1.0,200069250,0
2535,0,0,1,1,40.0,60.0,9.674310838239233,73,10,open,'34100000,0,31.0,22-164996,1,2022_December,Supplies,1.0,200069250,1
2536,0,0,0,1,9.0,55.0,12.89921982609012,55,31,negotiated,'60100000,1,57.0,22-165001,0,2022_December,Services,2.0,552081317,0
2537,0,0,0,0,0.0,60.0,12.793859310432293,71,68,open,'34351000,0,33.0,22-165091,1,2022_December,Supplies,3.0,176704609,0
2538,0,0,0,0,0.0,60.0,13.592367006650065,71,68,open,'34352100,0,33.0,22-165091,1,2022_December,Supplies,3.0,176704609,0
2539,1,0,1,1,10.0,40.0,11.889876414340108,72,93,open,'90911300,0,69.0,22-165150,0,2022_December,Services,0.0,219300712,1
2540,1,0,0,0,0.0,30.0,10.489021682384951,73,77,open,'66515000,0,74.0,22-165174,1,2022_December,Services,0.0,200087021,1
2541,1,0,0,0,0.0,30.0,11.52881849897214,73,77,open,'66514110,0,74.0,22-165174,1,2022_December,Services,1.0,200087021,1
2542,1,0,0,0,0.0,30.0,12.297648589017385,73,77,open,'66516400,0,74.0,22-165174,1,2022_December,Services,0.0,200087021,1
2543,1,0,0,0,0.0,30.0,9.259130536145614,73,77,open,'66513100,0,74.0,22-165174,1,2022_December,Services,0.0,200087021,1
2544,1,0,0,0,0.0,30.0,11.96863998948152,73,77,open,'66512000,0,74.0,22-165174,1,2022_December,Services,1.0,200087021,1
2545,1,0,0,0,0.0,60.0,10.993731591533722,73,29,open,'71000000,0,32.0,22-165189,0,2022_December,Services,0.0,192901254,1
2546,0,0,1,0,0.0,70.0,13.3167703438836,72,85,open,'90610000,0,34.0,22-165224,1,2022_December,Services,1.0,218502227,0
2547,1,0,0,1,10.0,40.0,13.304684934198283,73,34,open,'60130000,0,35.0,22-165252,0,2022_December,Services,0.0,200022986,1
2548,0,0,0,1,10.0,45.0,12.386375499447208,73,2,open,'34138000,1,30.0,22-16527,0,2022_February,Supplies,2.0,250208790,0
2549,1,0,1,1,5.0,75.0,8.775924711604945,73,17,open,'31411000,1,31.0,22-165277,1,2022_December,Supplies,0.0,281700252,1
2550,1,0,1,0,0.0,60.0,10.536958239788715,73,17,open,'31440000,1,31.0,22-165277,1,2022_December,Supplies,0.0,281700252,1
2551,0,0,0,0,0.0,100.0,15.592325579806506,72,14,negotiated,'79341000,0,40.0,22-165298,0,2023_January,Services,1.0,211402201,1
2552,0,0,0,0,0.0,60.0,13.506093993366488,73,56,open,'90500000,0,33.0,22-165354,0,2022_December,Services,1.0,200043123,0
2553,1,0,0,0,0.0,40.0,12.454930726124372,73,17,open,'79713000,0,58.0,22-165364,0,2022_December,Services,1.0,241700624,1
2554,1,0,0,0,0.0,40.0,14.690979295318174,73,56,open,'34928480,1,62.0,22-165465,0,2022_December,Supplies,2.0,200043123,1
2555,1,0,1,1,5.0,35.0,11.451823166584504,73,17,open,'18235000,1,70.0,22-165471,1,2022_December,Supplies,0.0,281700252,1
2556,1,0,1,1,5.0,35.0,10.92521879686828,73,17,open,'18931000,1,70.0,22-165471,1,2022_December,Supplies,0.0,281700252,1
2557,1,0,1,1,5.0,35.0,13.86214602148026,73,17,open,'18830000,1,70.0,22-165471,1,2022_December,Supplies,0.0,281700252,1
2558,1,0,0,1,10.0,45.0,13.997832114758229,72,92,open,'60112000,1,33.0,22-165483,0,2022_December,Services,0.0,219200771,1
2559,1,0,1,0,0.0,40.0,11.289781913656018,72,31,open,'60130000,1,33.0,22-165629,1,2022_December,Services,0.0,200053791,1
2560,1,0,1,0,0.0,40.0,11.512925464970229,72,31,open,'60130000,1,33.0,22-165629,1,2022_December,Services,0.0,200053791,1
2561,1,0,1,0,0.0,40.0,11.84939770159144,72,31,open,'60130000,1,33.0,22-165629,1,2022_December,Services,0.0,200053791,1
2562,1,0,1,0,0.0,40.0,12.388394202324127,72,31,open,'60130000,1,33.0,22-165629,1,2022_December,Services,0.0,200053791,1
2563,0,0,0,0,0.0,60.0,11.898155552313629,72,91,open,'45220000,0,22.0,22-165631,0,2022_December,Works,2.0,200083525,1
2564,1,0,0,0,0.0,70.0,13.122363377404328,72,33,open,'79823000,1,46.0,22-165695,1,2022_December,Services,0.0,223300013,1
2565,0,0,0,0,0.0,60.0,12.611537753638338,72,33,open,'79824000,1,46.0,22-165695,1,2022_December,Services,2.0,223300013,0
2566,1,0,0,0,0.0,50.0,13.426874542931044,41,66,open,'44211100,0,33.0,22-165706,0,2022_December,Supplies,0.0,404451791,1
2567,1,0,0,0,0.0,50.0,12.4130868149145,72,70,open,'44610000,0,42.0,22-165737,1,2022_December,Supplies,0.0,227000015,1
