,green,offers_sme,social_clause,g_clause,g_criterion,g_weight,price_weight,award_price,region,cpv,framework,advertising,id_contract,allotment,month,contract_type,cpv_division,offers_other,authority_siren,participation,quarter,status
9388,0,2.0,0,0,0,0.0,40.0,10.747895526936658,Occitanie,'66516000,0,58.0,22-26423,1,2022_February,S,66,0.0,216504407,1,2022Q1,municipality
9389,0,3.0,0,0,0,0.0,40.0,8.442038517815478,Occitanie,'66513100,0,58.0,22-26423,1,2022_February,S,66,1.0,216504407,1,2022Q1,municipality
9390,0,5.0,0,0,0,0.0,40.0,11.139191555023515,Occitanie,'66514100,0,58.0,22-26423,1,2022_February,S,66,1.0,216504407,1,2022Q1,municipality
9391,0,2.0,0,0,0,0.0,40.0,10.43190748470307,Occitanie,'66512000,0,58.0,22-26423,1,2022_February,S,66,2.0,216504407,1,2022Q1,municipality
9392,0,2.0,0,0,0,0.0,40.0,7.509883061154913,Occitanie,'66512100,0,58.0,22-26423,1,2022_February,S,66,0.0,216504407,1,2022Q1,municipality
9393,0,0.0,0,0,0,0.0,80.0,12.542544882151386,Occitanie,'03410000,1,31.0,22-37492,1,2022_March,F,3,2.0,216504407,0,2022Q1,municipality
9394,0,0.0,0,0,0,0.0,80.0,11.289781913656018,Occitanie,'44140000,1,31.0,22-37492,1,2022_March,F,44,1.0,216504407,0,2022Q1,municipality
9395,1,1.0,0,1,0,0.0,40.0,12.100712129872347,Occitanie,'79810000,1,28.0,22-71171,0,2022_May,S,79,0.0,216504407,1,2022Q2,municipality
9396,0,1.0,0,0,0,0.0,40.0,9.18684039790967,Occitanie,'66518200,0,32.0,22-40284,0,2022_March,S,66,0.0,216504407,1,2022Q1,municipality
9397,0,1.0,0,0,0,0.0,40.0,14.151982794585487,Occitanie,'30163100,1,33.0,22-91315,0,2022_July,F,30,1.0,226500015,1,2022Q3,departement
