,sme,social_clause,g_clause,g_criterion,g_weight,price_weight,award_price,legal_status,departement,procedure_type,CPV,framework,advertising,id_contract,allotment,month,contract_type,sme_ratio,siren
3019,1,1,1,1,9.0,40.0,11.84653646931041,73,83,open,'50532300,0,35.0,23-139169,0,2023_October,Services,0.3333333333333333,180090045
3020,0,0,1,1,10.0,30.0,15.761420707019589,41,77,open,'39100000,1,50.0,23-139423,1,2023_October,Supplies,0.5,776056467
3021,1,0,1,1,10.0,30.0,15.424948470398377,41,77,open,'39100000,1,50.0,23-139423,1,2023_October,Supplies,0.5,776056467
3022,0,0,1,1,10.0,30.0,15.424948470398377,41,77,open,'39100000,1,50.0,23-139423,1,2023_October,Supplies,0.5,776056467
3023,1,0,0,0,0.0,60.0,9.974784434418162,72,16,open,'90910000,0,31.0,23-139564,1,2023_October,Services,0.5,211603741
3024,1,0,0,0,0.0,60.0,10.5897611641529,72,16,open,'90910000,0,31.0,23-139564,1,2023_October,Services,0.3333333333333333,211603741
3025,1,0,0,0,0.0,60.0,9.988747396486952,72,16,open,'90910000,0,31.0,23-139564,1,2023_October,Services,0.3333333333333333,211603741
3026,0,0,0,0,0.0,60.0,8.263590432617319,72,16,open,'90910000,0,31.0,23-139564,1,2023_October,Services,0.5,211603741
3027,0,0,0,0,0.0,60.0,6.551080335043404,72,16,open,'90910000,0,31.0,23-139564,1,2023_October,Services,0.5,211603741
3028,0,1,1,1,20.0,40.0,11.695247021764184,73,75,open,'77310000,1,32.0,23-139588,1,2023_October,Services,0.3333333333333333,180007015
3029,1,1,1,1,20.0,40.0,10.596634733096073,73,75,open,'77310000,1,32.0,23-139588,1,2023_October,Services,0.5,180007015
3030,0,0,0,0,0.0,60.0,12.214566470649096,72,16,open,'90910000,0,31.0,23-139611,1,2023_October,Services,0.0,211603741
3031,0,0,0,0,0.0,60.0,10.496759147668817,72,16,open,'90910000,0,31.0,23-139611,1,2023_October,Services,0.0,211603741
3032,0,0,0,0,0.0,60.0,9.313979406735667,72,16,open,'90910000,0,31.0,23-139611,1,2023_October,Services,0.0,211603741
3033,1,0,1,1,5.0,30.0,12.35017298950393,73,80,open,'75310000,1,53.0,23-13962,1,2023_February,Services,0.7142857142857143,130001316
3034,0,0,0,0,0.0,10.0,14.914122846632385,73,91,open,'09310000,0,33.0,23-13978,0,2023_February,Supplies,0.0,200077139
3035,1,0,1,0,0.0,30.0,10.596634733096073,73,75,open,'79530000,1,34.0,23-139876,1,2023_October,Services,0.6666666666666666,197517188
3036,1,0,1,0,0.0,50.0,10.596634733096073,73,75,open,'79530000,1,34.0,23-139876,1,2023_October,Services,0.7142857142857143,197517188
3037,1,0,1,0,0.0,35.0,10.596634733096073,73,75,open,'79530000,1,34.0,23-139876,1,2023_October,Services,0.7142857142857143,197517188
3038,1,0,0,0,0.0,100.0,11.289781913656018,73,13,open,'50421000,0,40.0,23-139997,1,2023_October,Services,0.6666666666666666,130015332
3039,0,0,0,0,0.0,100.0,11.27669135494428,72,29,open,'66514110,0,50.0,23-140131,1,2023_October,Services,0.0,212900260
3040,0,0,0,0,0.0,100.0,10.306698789250008,72,29,open,'66516400,0,50.0,23-140131,1,2023_October,Services,0.0,212900260
3041,1,1,1,0,0.0,40.0,16.11809565095832,73,30,open,'45231400,1,46.0,23-140466,1,2023_October,Works,0.5,200039543
3042,1,0,0,0,0.0,100.0,14.50865773852422,92,60,open,'80500000,0,32.0,23-141783,1,2023_October,Services,0.5,512929514
3043,1,0,0,0,0.0,40.0,13.415032991367148,72,36,open,'32323500,1,54.0,23-141879,0,2023_October,Supplies,0.5,213600448
3044,0,0,0,0,0.0,40.0,11.55053911826351,73,22,open,'45311200,0,39.0,23-1420,0,2023_January,Works,0.3333333333333333,252203161
3045,0,0,1,1,2.0,70.0,12.676076274775909,72,1,open,'50232200,1,33.0,23-142005,1,2023_October,Services,0.4,210100046
3046,0,0,1,1,2.0,70.0,11.512925464970229,72,1,open,'34928472,1,33.0,23-142005,1,2023_October,Supplies,0.25,210100046
3047,0,0,0,0,0.0,40.0,14.22097566607244,73,52,open,'64200000,1,29.0,23-142098,1,2023_October,Services,0.0,200044170
3048,0,0,0,0,0.0,40.0,12.89921982609012,73,52,open,'64200000,1,29.0,23-142098,1,2023_October,Services,0.0,200044170
